Week,Samsung Galaxy: (United States)
4/6/2014,83
4/13/2014,83
4/20/2014,77
4/27/2014,74
5/4/2014,72
5/11/2014,72
5/18/2014,71
5/25/2014,71
6/1/2014,71
6/8/2014,74
6/15/2014,74
6/22/2014,74
6/29/2014,74
7/6/2014,74
7/13/2014,75
7/20/2014,75
7/27/2014,72
8/3/2014,75
8/10/2014,75
8/17/2014,77
8/24/2014,73
8/31/2014,83
9/7/2014,100
9/14/2014,91
9/21/2014,93
9/28/2014,80
10/5/2014,73
10/12/2014,74
10/19/2014,72
10/26/2014,70
11/2/2014,71
11/9/2014,70
11/16/2014,71
11/23/2014,94
11/30/2014,84
12/7/2014,75
12/14/2014,76
12/21/2014,93
12/28/2014,79
1/4/2015,67
1/11/2015,65
1/18/2015,65
1/25/2015,64
2/1/2015,65
2/8/2015,68
2/15/2015,68
2/22/2015,73
3/1/2015,93
3/8/2015,76
3/15/2015,71
3/22/2015,75
3/29/2015,78
4/5/2015,82
4/12/2015,80
4/19/2015,75
4/26/2015,69
5/3/2015,66
5/10/2015,67
5/17/2015,66
5/24/2015,66
5/31/2015,66
6/7/2015,69
6/14/2015,72
6/21/2015,72
6/28/2015,65
7/5/2015,65
7/12/2015,65
7/19/2015,63
7/26/2015,64
8/2/2015,64
8/9/2015,72
8/16/2015,70
8/23/2015,65
8/30/2015,61
9/6/2015,62
9/13/2015,59
9/20/2015,59
9/27/2015,59
10/4/2015,56
10/11/2015,58
10/18/2015,59
10/25/2015,59
11/1/2015,61
11/8/2015,61
11/15/2015,62
11/22/2015,80
11/29/2015,70
12/6/2015,66
12/13/2015,67
12/20/2015,83
12/27/2015,72
1/3/2016,54
1/10/2016,48
1/17/2016,50
1/24/2016,48
1/31/2016,50
2/7/2016,52
2/14/2016,53
2/21/2016,73
2/28/2016,63
3/6/2016,67
3/13/2016,70
3/20/2016,62
3/27/2016,58
4/3/2016,55
4/10/2016,54
4/17/2016,50
4/24/2016,49
5/1/2016,48
5/8/2016,50
5/15/2016,49
5/22/2016,50
5/29/2016,53
6/5/2016,53
6/12/2016,53
6/19/2016,55
6/26/2016,56
7/3/2016,58
7/10/2016,63
7/17/2016,59
7/24/2016,59
7/31/2016,67
8/7/2016,59
8/14/2016,60
8/21/2016,59
8/28/2016,63
9/4/2016,67
9/11/2016,67
9/18/2016,58
9/25/2016,52
10/2/2016,50
10/9/2016,62
10/16/2016,51
10/23/2016,46
10/30/2016,46
11/6/2016,43
11/13/2016,48
11/20/2016,66
11/27/2016,59
12/4/2016,53
12/11/2016,52
12/18/2016,58
12/25/2016,62
1/1/2017,50
1/8/2017,46
1/15/2017,45
1/22/2017,45
1/29/2017,44
2/5/2017,42
2/12/2017,43
2/19/2017,46
2/26/2017,49
3/5/2017,48
3/12/2017,45
3/19/2017,48
3/26/2017,77
4/2/2017,57
4/9/2017,50
4/16/2017,60
4/23/2017,55
4/30/2017,50
5/7/2017,48
5/14/2017,47
5/21/2017,46
5/28/2017,45
6/4/2017,46
6/11/2017,48
6/18/2017,51
6/25/2017,51
7/2/2017,50
7/9/2017,50
7/16/2017,48
7/23/2017,49
7/30/2017,50
8/6/2017,50
8/13/2017,49
8/20/2017,54
8/27/2017,47
9/3/2017,45
9/10/2017,53
9/17/2017,50
9/24/2017,45
10/1/2017,42
10/8/2017,41
10/15/2017,41
10/22/2017,41
10/29/2017,42
11/5/2017,44
11/12/2017,44
11/19/2017,59
11/26/2017,51
12/3/2017,44
12/10/2017,44
12/17/2017,48
12/24/2017,56
12/31/2017,43
1/7/2018,39
1/14/2018,38
1/21/2018,37
1/28/2018,38
2/4/2018,36
2/11/2018,37
2/18/2018,40
2/25/2018,56
3/4/2018,46
3/11/2018,48
3/18/2018,46
3/25/2018,44
4/1/2018,41
4/8/2018,38
4/15/2018,36
4/22/2018,35
4/29/2018,33
5/6/2018,35
5/13/2018,36
5/20/2018,37
5/27/2018,38
6/3/2018,38
6/10/2018,39
6/17/2018,39
6/24/2018,39
7/1/2018,40
7/8/2018,43
7/15/2018,39
7/22/2018,39
7/29/2018,41
8/5/2018,49
8/12/2018,46
8/19/2018,46
8/26/2018,46
9/2/2018,43
9/9/2018,41
9/16/2018,42
9/23/2018,40
9/30/2018,38
10/7/2018,38
10/14/2018,37
10/21/2018,35
10/28/2018,37
11/4/2018,39
11/11/2018,39
11/18/2018,55
11/25/2018,46
12/2/2018,39
12/9/2018,40
12/16/2018,42
12/23/2018,50
12/30/2018,41
1/6/2019,36
1/13/2019,35
1/20/2019,35
1/27/2019,33
2/3/2019,34
2/10/2019,37
2/17/2019,70
2/24/2019,59
3/3/2019,53
3/10/2019,48
3/17/2019,43
3/24/2019,41
3/31/2019,41
